Date,Open,High,Low,Close,Volume
2022-04-26,536.817,544.221,507.2,507.2,491.60117568478
2022-04-27,507.2,527.562,490.54,527.562,492.68161782914
2022-04-28,536.817,547.924,523.86,547.924,266.86920965745
2022-04-29,542.37,553.477,531.264,547.924,390.03961411474
2022-05-02,562.733,562.733,544.221,557.18,344.66104405153
2022-05-04,562.733,562.733,546.073,546.073,413.80934129071
2022-05-05,553.477,553.477,523.86,544.221,204.20356528445
2022-05-06,529.413,542.37,510.902,510.902,155.58366878815
2022-05-09,505.349,546.073,505.349,544.221,177.19251167539
2022-05-10,544.221,553.477,514.604,553.477,222.5710817386
2022-05-11,542.37,553.477,542.37,553.477,545.62328290289
2022-05-12,536.817,540.519,520.157,520.157,145.85968948889
2022-05-13,536.817,553.477,522.009,522.009,453.78570063211
2022-05-16,529.413,533.115,523.86,523.86,102.64200371441
2022-05-17,533.115,533.115,522.009,523.86,153.42278449943
2022-05-18,527.562,533.115,527.562,529.413,75.630950105351
2022-05-19,533.115,533.115,523.86,525.711,204.20356528445
2022-05-20,520.157,520.157,516.455,516.455,192.31870169646
2022-05-23,518.306,523.86,516.455,518.306,152.34234235506
2022-05-24,531.264,531.264,514.604,520.157,231.2146188935
2022-05-25,529.413,531.264,509.05,518.306,179.35339596412
2022-05-26,522.009,536.817,514.604,529.413,1115.0162929817
2022-05-27,516.455,531.264,516.455,531.264,265.78876751309
2022-05-30,523.86,546.073,503.498,546.073,1491.0101592198
2022-05-31,536.817,560.882,531.264,560.882,1175.521053066
2022-06-01,560.882,560.882,546.073,549.775,175.03162738667
2022-06-02,546.073,596.052,546.073,555.328,513.21001857203
2022-06-03,555.328,586.797,555.328,557.18,248.5016932033
2022-06-06,557.18,566.434,557.18,564.583,191.2382595521
2022-06-07,566.434,573.839,557.18,557.18,118.84863587984
2022-06-08,562.733,562.733,557.18,557.18,58.343875795557
2022-06-09,560.882,560.882,551.626,551.626,19682.414543845
2022-06-10,555.328,555.328,551.626,555.328,68.067855094816
2022-06-13,536.817,542.37,516.455,527.562,278.75407324544
2022-06-14,527.562,527.562,475.731,475.731,457.02702706519
2022-06-15,483.135,496.093,483.135,483.135,196.64047027391
2022-06-17,481.284,496.093,462.773,462.773,1334.3460482873
2022-06-20,479.434,479.434,458.145,459.071,156.66411093251
2022-06-21,462.773,473.88,462.773,473.88,168.5489745205
2022-06-22,468.327,473.88,451.667,457.22,850.30796761302
2022-06-23,458.145,459.071,427.602,430.379,463.50967993137
2022-06-24,438.709,439.635,428.528,428.528,1117.1771772705
2022-06-27,434.081,448.891,429.453,435.007,93.998466559508
2022-06-28,439.635,470.178,439.635,444.263,2183.5735737559
2022-06-29,443.337,455.369,443.337,453.518,396.52226698091
2022-06-30,455.369,466.476,448.891,462.773,641.78263375112
2022-07-01,468.327,509.05,468.327,503.498,459.18791135392
2022-07-04,503.498,518.306,494.242,494.242,729.29844744446
2022-07-05,507.2,516.455,486.837,486.837,391.1200562591
2022-07-06,486.837,492.391,468.327,468.327,972.39792992594
2022-07-07,470.178,472.029,460.922,462.773,646.10440232857
2022-07-08,464.625,472.029,453.518,472.029,521.85355572692
2022-07-11,509.05,509.05,473.88,483.135,170.70985880922
2022-07-12,481.284,481.284,477.583,481.284,24.85016932033
2022-07-13,479.434,479.434,466.476,468.327,25.930611464692
2022-07-14,472.029,472.029,453.518,453.518,156.66411093251
2022-07-15,468.327,468.327,454.443,454.443,95.07890870387
2022-07-18,468.327,472.029,466.476,470.178,1420.7814198362
2022-07-19,472.029,518.306,472.029,501.647,3986.8315126964
2022-07-20,518.306,534.967,509.05,518.306,2398.581560484
