Date,Open,High,Low,Close,Volume
2022-01-03,38.951,39.848,38.8389,39.3737,3735608.5294637
2022-01-04,39.5634,40.1845,39.5375,40.1068,3706056.4751672
2022-01-05,40.1155,40.1499,39.5893,39.7963,2765989.5006848
2022-01-07,40.4518,40.4518,39.5893,40.1413,3457690.0614464
2022-01-10,40.1068,41.2885,39.9343,40.4691,3440947.1050302
2022-01-11,40.8658,41.7887,40.4345,41.7024,3876639.6188227
2022-01-12,41.8319,42.7202,41.5559,42.7202,3926924.1394744
2022-01-13,42.6944,43.0394,42.2544,42.9358,4719766.4872266
2022-01-14,42.9358,43.5051,41.4609,41.8231,5433623.2627321
2022-01-17,41.6594,42.1337,41.4869,41.9784,1311538.9288363
2022-01-18,41.8319,41.918,41.0125,41.2367,1812169.6732829
2022-01-19,40.7277,41.3919,40.5036,40.8744,3100530.952253
2022-01-20,40.9693,41.2625,40.3139,40.8486,2526211.9534645
2022-01-21,40.4691,40.8658,40.2189,40.7796,2609417.757091
2022-01-24,40.7105,41.3057,38.7527,39.0114,3582397.8987188
2022-01-25,39.0114,40.3569,38.9942,39.7186,3226502.5401306
2022-01-26,39.9602,41.3919,39.9602,41.1418,2626932.8767212
2022-01-27,41.1418,42.0906,40.7537,41.5213,3606212.0615046
2022-01-28,41.1505,41.2367,40.1931,40.7709,2930277.0793974
2022-01-31,41.0642,41.8146,40.6933,41.09,4168287.7516749
2022-02-01,41.5731,41.8146,41.0211,41.4006,1912095.2452413
2022-02-02,41.5903,42.4442,41.4869,42.4442,2965921.8028973
2022-02-03,42.4442,42.4615,41.8578,42.3925,2190271.1009964
2022-02-04,42.7548,42.7548,41.4092,41.4092,2612157.4292751
2022-02-07,41.599,42.0991,40.2017,41.0556,2091542.0341985
2022-02-08,41.2022,42.2631,41.0642,42.2372,2761766.9504966
2022-02-09,42.4356,42.634,41.7197,42.2631,2231297.7789098
2022-02-10,42.2544,42.4356,41.2367,41.5299,2342794.2050358
2022-02-11,41.2022,41.4006,40.3224,41.0987,2596303.7358996
2022-02-14,39.3305,40.5121,38.9338,40.012,2483232.8388358
2022-02-15,40.3656,41.1505,40.3139,40.7709,1560495.4793076
2022-02-16,41.116,41.7801,40.5036,40.7192,2306530.3596796
2022-02-17,40.7968,41.0383,39.7532,40.1068,1551927.4820833
2022-02-18,39.9515,40.2448,39.4771,39.4771,1547724.6417669
2022-02-21,39.6755,39.8826,37.7177,37.8298,2032856.470531
2022-02-22,37.0881,38.192,36.6999,37.778,3629047.6871243
2022-02-23,38.1144,38.6664,37.2001,37.2778,3016039.3693406
2022-02-24,34.0692,35.363,30.6623,31.0073,9863996.6583247
2022-02-25,32.0855,35.5786,31.9302,35.1215,9663662.042846
2022-02-28,34.0347,35.1991,32.9565,34.7851,9827598.3220784
2022-03-01,34.8024,35.5096,32.5253,32.5253,10987832.680716
2022-03-02,32.37,33.4397,31.913,33.0773,10783376.383216
2022-03-03,32.8616,33.0946,31.8525,31.8525,8557720.2652667
2022-03-04,31.8439,31.8439,28.946,30.2396,7791730.8787745
2022-03-07,28.7648,29.4289,26.781,28.8079,24125953.248317
2022-03-08,28.2645,30.3604,27.7297,28.5751,13529208.482041
2022-03-09,29.403,31.8009,29.1529,31.6628,8056870.3934215
2022-03-10,32.258,32.258,30.1879,31.0245,6162298.3836401
2022-03-11,31.913,33.1636,31.223,32.0078,6139470.8738498
2022-03-14,32.3442,32.8616,31.43,31.9043,3844466.1515731
2022-03-15,31.9043,32.9825,31.5334,32.6288,3118388.0961296
2022-03-16,33.1377,34.4919,33.0601,34.2763,6647427.8935956
2022-03-17,34.5436,35.2249,33.8535,34.8196,6733863.7973937
2022-03-18,34.6557,34.9404,34.0175,34.2418,8313768.8628356
2022-03-21,34.1727,34.742,32.9479,33.0946,3769893.2718074
2022-03-22,33.6379,33.8967,33.155,33.8277,3072576.5569788
